合约,交易日,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交金额,结算价,前结算价,品种
IF2403,2020-05-25,2696.17,2720.76,2688.99,2719.47,8282,108809,22160388.81,2710.89,2659.13,IF
IH2401,2020-05-25,4529.62,4603.9,4464.37,4515.33,1207,87633,5439537.5,4515.62,4596.72,IH
IC2401,2020-05-26,2348.14,2360.67,2312.23,2343.99,7389,153709,17419956.5,2334.9,2342.66,IC
IC2402,2020-05-26,3508.6,3540.85,3504.8,3509.03,1738,134858,5877331.15,3513.94,3496.88,IC
IF2401,2020-05-26,3045.39,3075.24,3018.03,3023.53,3760,52469,11164695.56,3014.48,3014.72,IF
IF2402,2020-05-26,3524.08,3525.44,3478.46,3521.37,7133,61884,26153532.12,3537.3,3486.83,IF
IF2403,2020-05-26,2625.14,2649.67,2593.31,2622.76,9477,136062,23637087.09,2611.6,2621.97,IF
IH2401,2020-05-26,4440.62,4528.62,4291.81,4430.71,3270,112953,14109701.25,4436.16,4475.93,IH
IC2401,2020-05-27,2320.44,2357.65,2291.3,2306.34,4470,163836,10652874.84,2309.82,2335.36,IC
IC2402,2020-05-27,3585.04,3589.23,3503.17,3559.78,5381,132286,19929243.73,3544.68,3572.73,IC
IF2401,2020-05-27,3143.36,3210.29,3133.82,3149.8,1229,93040,3825870.9,3142.44,3134.27,IF
IF2402,2020-05-27,3492.86,3546.26,3464.11,3509.05,5610,174185,19717896.29,3516.25,3525.01,IF
IF2403,2020-05-27,2610.85,2623.91,2571.16,2596.23,9141,128706,22836582.12,2586.1,2563.74,IF
IH2401,2020-05-27,4512.51,4624.87,4474.09,4487.26,9357,107076,43536576.5,4504.48,4448.63,IH
IC2401,2020-05-28,2285.49,2302.5,2259.74,2280.52,3734,107116,8715817.43,2278.45,2278.59,IC
IC2402,2020-05-28,3646.38,3711.94,3592.36,3603.8,7855,139177,27859079.05,3611.08,3660.59,IC
IF2401,2020-05-28,3121.43,3122.4,3073.46,3104.49,6475,118633,19200248.34,3095.62,3153.39,IF
IF2402,2020-05-28,3394.36,3485.08,3383.29,3466.57,2865,95633,10380557.41,3453.57,3409.3,IF
IF2403,2020-05-28,2506.44,2518.57,2477.25,2514.13,1865,104212,4567737.85,2502.38,2548.81,IF
IH2401,2020-05-28,4466.51,4487.85,4431.6,4460.39,5265,160483,24249725.49,4479.94,4508.55,IH
IC2401,2020-05-29,2314.78,2323.72,2277.12,2303.86,6895,103505,15356264.1,2312.45,2326.28,IC
IC2402,2020-05-29,3620.02,3633.7,3533.73,3603.12,5338,189270,19867126.77,3588.11,3574.16,IC
IF2401,2020-05-29,3169.43,3183.67,3127.6,3157.26,3507,120813,11324858.71,3168.51,3180.55,IF
IF2402,2020-05-29,3321.3,3339.88,3248.03,3295.49,9324,95369,31546995.9,3290.62,3287.5,IF
IF2403,2020-05-29,2497.08,2499.78,2472.0,2491.29,7770,153614,19306438.54,2479.15,2443.99,IF
IH2401,2020-05-29,4297.48,4310.06,4282.49,4301.32,5376,183956,24070667.31,4289.95,4317.29,IH
IC2401,2020-06-01,2300.13,2318.95,2281.41,2292.74,8317,57724,19997904.02,2289.65,2289.87,IC
IC2402,2020-06-01,3426.64,3430.83,3374.75,3428.68,5271,150990,18651393.99,3433.31,3429.07,IC
IF2401,2020-06-01,3044.81,3061.94,3002.72,3056.35,2999,68266,8872386.45,3059.17,3003.81,IF
IF2402,2020-06-01,3269.95,3283.36,3269.75,3277.63,6942,50597,23827109.08,3281.11,3306.02,IF
IF2403,2020-06-01,2514.96,2567.7,2505.56,2525.61,4121,175694,10345765.87,2513.05,2521.26,IF
IH2401,2020-06-01,4199.81,4248.39,4169.2,4202.05,2749,159415,11020420.4,4200.41,4131.42,IH
IC2401,2020-06-02,2336.4,2370.42,2303.55,2318.44,7297,140176,17202700.77,2313.43,2290.14,IC
IC2402,2020-06-02,3398.64,3439.9,3359.88,3387.09,1056,145425,3729646.4,3374.63,3404.25,IC
IF2401,2020-06-02,3094.53,3111.03,3088.72,3098.11,8691,56353,26945083.71,3105.93,3067.27,IF
IF2402,2020-06-02,3259.55,3269.83,3252.47,3256.85,6528,161738,20539820.01,3269.45,3228.49,IF
IF2403,2020-06-02,2538.54,2566.49,2504.09,2517.68,9336,152781,22655212.88,2527.7,2571.86,IF
IH2401,2020-06-02,4277.86,4300.31,4225.67,4290.13,8227,101663,35229754.78,4287.38,4367.91,IH
IC2401,2020-06-03,2337.47,2372.99,2317.33,2342.71,7129,194714,16627998.81,2343.58,2358.79,IC
IC2402,2020-06-03,3401.7,3433.29,3318.35,3387.6,7603,93663,25409975.39,3392.55,3336.02,IC
IF2401,2020-06-03,3116.96,3174.08,3095.09,3126.81,8030,94053,24977004.5,3133.13,3098.92,IF
IF2402,2020-06-03,3333.37,3369.95,3305.43,3323.07,8896,154189,30267930.68,3317.04,3251.18,IF
IF2403,2020-06-03,2510.72,2527.95,2506.02,2519.73,4937,73653,12150901.1,2507.87,2471.89,IF
IH2401,2020-06-03,4159.35,4224.63,4130.08,4182.04,5652,176784,24655789.71,4169.34,4143.84,IH
IC2401,2020-06-04,2321.24,2344.64,2316.24,2317.46,5508,100764,12667538.16,2329.04,2324.51,IC
IC2402,2020-06-04,3378.09,3441.66,3362.98,3390.69,8252,108906,28907691.67,3401.78,3347.29,IC
IF2401,2020-06-04,3128.61,3154.47,3099.22,3125.04,6142,92046,18883019.37,3125.35,3090.85,IF
IF2402,2020-06-04,3278.9,3296.5,3239.7,3283.06,1966,70190,6358499.55,3279.22,3281.7,IF
IF2403,2020-06-04,2497.41,2515.97,2488.33,2497.96,5626,172994,14348388.4,2485.93,2529.84,IF
IH2401,2020-06-04,4305.89,4323.76,4290.87,4321.24,9045,67067,39588922.62,4317.5,4400.54,IH
IC2401,2020-06-05,2299.44,2318.72,2250.71,2287.34,1244,118273,2899815.14,2277.56,2306.85,IC
IC2402,2020-06-05,3372.33,3419.65,3286.19,3367.67,2852,148582,9988795.34,3365.37,3406.6,IC
IF2401,2020-06-05,3104.73,3133.38,3069.94,3126.55,3481,126339,10512340.28,3132.9,3083.58,IF
IF2402,2020-06-05,3350.82,3379.83,3307.99,3324.16,3110,175419,10673456.28,3313.58,3262.0,IF
IF2403,2020-06-05,2512.82,2540.35,2488.98,2507.02,4323,169206,10615735.82,2496.86,2502.7,IF
IH2401,2020-06-05,4339.25,4345.84,4278.02,4319.89,9816,97081,41734353.3,4321.65,4394.88,IH
IC2401,2020-06-08,2314.67,2353.81,2258.01,2304.67,7454,60387,16582137.77,2305.4,2295.41,IC
IC2402,2020-06-08,3317.83,3374.51,3287.06,3355.12,7893,141185,27148085.11,3346.97,3362.94,IC
IF2401,2020-06-08,3207.36,3222.03,3151.85,3194.92,1106,107806,3599918.16,3191.38,3251.05,IF
IF2402,2020-06-08,3355.09,3439.17,3333.24,3385.03,5238,126842,17312899.7,3375.02,3414.83,IF
IF2403,2020-06-08,2514.81,2533.64,2471.87,2514.15,9339,183914,22688002.11,2504.36,2480.18,IF
IH2401,2020-06-08,4310.73,4335.16,4263.83,4300.85,2267,147515,9613565.3,4307.29,4244.33,IH
IC2401,2020-06-09,2328.54,2347.34,2285.38,2316.83,3371,131781,7818917.97,2313.78,2291.76,IC
IC2402,2020-06-09,3385.03,3411.91,3334.16,3391.15,9590,89965,33926395.72,3395.1,3426.62,IC
IF2401,2020-06-09,3156.68,3176.9,3102.41,3134.64,9177,59141,29385227.78,3120.51,3097.1,IF
IF2402,2020-06-09,3305.04,3335.5,3304.84,3313.54,8581,195732,28315004.13,3312.21,3340.7,IF
IF2403,2020-06-09,2429.58,2442.26,2375.42,2431.23,7467,57728,17524704.27,2426.02,2410.11,IF
IH2401,2020-06-09,4325.46,4349.34,4296.24,4308.92,8410,198412,37548112.52,4307.74,4312.33,IH
IC2401,2020-06-10,2345.66,2390.33,2335.12,2355.73,1028,149425,2431193.63,2365.48,2404.55,IC
IC2402,2020-06-10,3344.04,3386.03,3279.66,3316.71,8959,92743,29357921.75,3330.68,3264.27,IC
IF2401,2020-06-10,3078.44,3083.97,3028.09,3075.18,9340,147372,28698108.07,3067.89,3074.45,IF
IF2402,2020-06-10,3407.09,3448.59,3386.97,3388.3,3275,73454,10694502.21,3395.69,3331.03,IF
IF2403,2020-06-10,2408.99,2413.25,2401.21,2407.83,4093,104565,9703184.13,2399.43,2411.78,IF
IH2401,2020-06-10,4348.41,4422.31,4330.4,4368.98,5177,171587,22233149.19,4382.91,4444.99,IH
IC2401,2020-06-11,2258.31,2277.46,2250.23,2271.31,2166,163461,4675844.36,2262.79,2223.07,IC
IC2402,2020-06-11,3352.38,3382.88,3343.08,3360.92,7379,148016,24887548.66,3376.13,3430.6,IC
IF2401,2020-06-11,3030.52,3107.35,3025.38,3049.84,4009,83773,11976303.8,3040.83,3041.16,IF
IF2402,2020-06-11,3222.71,3273.56,3217.51,3230.52,9560,56316,30654991.05,3218.37,3216.49,IF
IF2403,2020-06-11,2445.51,2449.95,2374.5,2424.43,9104,119452,21813446.06,2415.12,2384.86,IF
IH2401,2020-06-11,4357.99,4395.14,4314.03,4347.12,1141,164512,5172582.11,4356.39,4287.15,IH
IC2401,2020-06-12,2290.45,2326.68,2265.86,2295.73,9884,55096,23663354.75,2290.36,2283.59,IC
IC2402,2020-06-12,3378.34,3407.38,3369.17,3372.96,2184,162022,7429728.71,3356.41,3418.55,IC
IF2401,2020-06-12,2906.35,2943.95,2906.11,2927.48,4613,136110,13422674.59,2928.02,2886.16,IF
IF2402,2020-06-12,3320.86,3410.26,3309.79,3330.44,9007,197350,31491162.57,3321.51,3377.05,IF
IF2403,2020-06-12,2399.55,2425.36,2395.14,2401.2,6881,101488,16516203.7,2401.1,2390.76,IF
IH2401,2020-06-12,4335.17,4428.52,4294.04,4350.35,4997,153953,22165794.4,4353.08,4380.29,IH
IC2401,2020-06-15,2265.3,2272.25,2244.26,2271.83,3278,79629,7804349.12,2271.18,2310.69,IC
IC2402,2020-06-15,3512.82,3523.03,3420.7,3503.42,2155,115421,7295318.07,3505.65,3545.8,IC
IF2401,2020-06-15,2899.23,2908.62,2825.46,2876.61,7363,91101,20829117.27,2866.37,2844.44,IF
IF2402,2020-06-15,3171.34,3212.49,3161.1,3189.26,4571,133194,14789221.55,3196.05,3213.16,IF
IF2403,2020-06-15,2347.63,2373.8,2312.25,2345.44,9805,90203,21905692.26,2355.79,2363.87,IF
IH2401,2020-06-15,4434.66,4485.84,4407.37,4443.51,6299,51582,29272680.94,4445.49,4519.41,IH
IC2401,2020-06-16,2354.79,2355.57,2330.54,2353.32,1726,141760,4074805.23,2358.09,2356.51,IC
IC2402,2020-06-16,3530.84,3532.45,3483.28,3496.86,9380,175937,31466498.7,3511.73,3552.09,IC
IF2401,2020-06-16,2849.57,2849.57,2795.86,2848.1,9310,138288,25577974.21,2843.27,2896.06,IF
IF2402,2020-06-16,3106.74,3108.97,3060.18,3086.22,8593,88326,25944113.93,3093.1,3123.98,IF
IF2403,2020-06-16,2370.56,2405.73,2337.53,2344.44,8914,187772,19924716.66,2347.43,2345.66,IF
IH2401,2020-06-16,4491.02,4545.04,4473.9,4478.04,8490,99483,38376868.0,4465.65,4417.01,IH
IC2401,2020-06-17,2357.91,2387.06,2338.98,2359.12,3191,195821,7541294.74,2353.43,2325.54,IC
IC2402,2020-06-17,3526.92,3558.67,3488.17,3530.27,6107,166680,22182392.97,3521.71,3468.25,IC
IF2401,2020-06-17,2788.49,2809.41,2724.69,2794.11,4411,59539,12009021.86,2804.56,2790.96,IF
IF2402,2020-06-17,3045.54,3045.97,2981.73,3021.36,7713,198063,22958625.96,3009.79,3018.42,IF
IF2403,2020-06-17,2387.17,2442.29,2343.85,2391.2,4070,72972,10018282.5,2396.44,2442.38,IF
IH2401,2020-06-17,4496.24,4520.97,4481.05,4483.69,1737,61706,7740315.21,4472.34,4508.6,IH
IC2401,2020-06-18,2357.16,2360.69,2339.06,2347.76,4477,159143,11016436.14,2351.38,2351.98,IC
IC2402,2020-06-18,3454.14,3501.46,3420.12,3434.03,5516,115589,19689443.11,3443.85,3414.91,IC
IF2401,2020-06-18,2746.62,2760.62,2724.34,2724.73,7576,125086,20152804.77,2717.69,2767.68,IF
IF2402,2020-06-18,2923.15,2955.19,2921.41,2939.78,6535,73882,18881345.48,2949.96,2916.57,IF
IF2403,2020-06-18,2321.98,2357.08,2314.67,2344.12,1542,198428,3651671.91,2336.0,2330.91,IF
IH2401,2020-06-18,4548.58,4559.71,4485.75,4509.77,9962,193199,44951403.41,4519.81,4568.62,IH
IC2401,2020-06-19,2314.9,2358.65,2297.81,2325.33,9496,58118,22956867.59,2324.0,2333.19,IC
IC2402,2020-06-19,3417.05,3432.02,3412.04,3427.06,9490,118127,33080648.6,3433.72,3423.96,IC
IF2401,2020-06-19,2709.1,2717.45,2708.67,2715.38,7731,70525,22034990.51,2704.62,2753.09,IF
IF2402,2020-06-19,2964.05,2981.79,2961.74,2968.36,2653,76522,7946999.75,2954.12,2979.1,IF
IF2403,2020-06-19,2367.96,2394.8,2358.43,2361.65,1386,146764,3160834.26,2355.11,2381.84,IF
IH2401,2020-06-19,4579.91,4597.02,4519.52,4578.93,7123,191368,32180410.91,4595.73,4601.38,IH
IC2401,2020-06-22,2408.7,2422.9,2369.06,2386.58,2788,128767,6889336.55,2395.82,2355.26,IC
IC2402,2020-06-22,3266.86,3294.27,3248.7,3271.1,5052,163782,16385062.74,3270.55,3271.4,IC
IF2401,2020-06-22,2618.74,2643.17,2587.62,2636.18,1324,78984,3610978.98,2623.99,2571.52,IF
IF2402,2020-06-22,2990.31,3010.4,2955.7,2973.92,9119,119734,27818381.94,2970.76,2978.77,IF
IF2403,2020-06-22,2263.13,2294.86,2226.95,2276.18,3802,100185,8666632.19,2274.47,2229.73,IF
IH2401,2020-06-22,4558.01,4584.63,4457.89,4573.5,5219,59970,24211617.59,4596.36,4582.42,IH
IC2401,2020-06-23,2311.41,2329.88,2288.48,2329.36,7267,93405,16400701.27,2339.9,2369.03,IC
IC2402,2020-06-23,3217.34,3235.26,3192.83,3220.75,6928,157579,21874875.35,3218.05,3181.91,IC
IF2401,2020-06-23,2574.1,2598.33,2534.23,2572.08,8827,100813,23834141.29,2566.73,2614.22,IF
IF2402,2020-06-23,3015.43,3065.71,2984.4,3003.48,9067,145789,27857327.65,3002.92,3042.88,IF
IF2403,2020-06-23,2193.54,2213.32,2188.12,2212.36,6850,53067,15587111.99,2209.44,2199.51,IF
IH2401,2020-06-23,4379.21,4421.66,4329.61,4373.9,7425,180439,30998704.75,4363.93,4347.29,IH
IC2401,2020-06-24,2402.5,2430.72,2371.93,2386.79,3088,50415,7374734.97,2394.32,2350.53,IC
IC2402,2020-06-24,3186.67,3213.46,3161.73,3201.86,2046,62610,6403632.26,3186.83,3245.09,IC
IF2401,2020-06-24,2637.84,2662.98,2604.62,2638.65,9765,76640,25406586.17,2633.22,2616.82,IF
IF2402,2020-06-24,3001.9,3026.11,2954.2,2986.1,3426,105144,9794771.71,2999.76,2961.66,IF
IF2403,2020-06-24,2252.68,2265.5,2228.34,2241.99,4224,144392,9820489.64,2243.76,2271.55,IF
IH2401,2020-06-24,4331.66,4382.72,4288.42,4322.87,5188,152826,21690171.61,4341.93,4372.41,IH
IC2401,2020-06-25,2309.87,2310.33,2293.5,2300.68,5276,134273,12054431.32,2305.1,2328.94,IC
IC2402,2020-06-25,3176.47,3235.47,3120.09,3171.59,3893,169779,12211782.14,3173.48,3193.19,IC
IF2401,2020-06-25,2682.7,2726.49,2666.33,2668.14,6895,57652,18725747.57,2670.33,2669.72,IF
IF2402,2020-06-25,3012.77,3035.07,2995.79,3010.02,5522,61684,16890897.24,3015.11,2968.06,IF
IF2403,2020-06-25,2233.18,2279.13,2205.61,2240.25,9091,65858,20312250.29,2238.03,2282.01,IF
IH2401,2020-06-25,4270.5,4305.13,4264.35,4266.68,1490,77725,6516283.41,4267.02,4214.14,IH
IC2401,2020-06-26,2353.46,2393.8,2333.49,2346.9,1548,188517,3604568.11,2358.53,2354.41,IC
IC2402,2020-06-26,3179.78,3213.13,3160.73,3184.21,8069,78770,25161334.71,3184.26,3144.59,IC
IF2401,2020-06-26,2642.96,2678.24,2636.05,2666.36,6312,191839,16510716.94,2654.05,2612.65,IF
IF2402,2020-06-26,2975.42,2975.83,2964.05,2972.96,6317,113005,19181360.18,2958.76,2917.37,IF
IF2403,2020-06-26,2213.64,2294.61,2195.73,2219.28,2095,136522,4710902.13,2223.71,2246.4,IF
IH2401,2020-06-26,4234.8,4250.82,4197.75,4234.9,8008,170820,34202491.97,4249.88,4180.49,IH
IC2401,2020-06-29,2376.81,2418.36,2343.15,2382.78,9129,122419,21315642.34,2387.57,2344.7,IC
IC2402,2020-06-29,3149.85,3211.8,3128.56,3149.45,9246,64998,28063281.33,3158.21,3173.49,IC
IF2401,2020-06-29,2715.71,2735.36,2695.01,2728.58,9975,94610,26948862.92,2730.14,2715.82,IF
IF2402,2020-06-29,3036.33,3078.67,3030.46,3032.38,5845,107872,17279050.5,3046.1,3018.71,IF
IF2403,2020-06-29,2204.77,2224.62,2176.45,2195.43,6746,118066,14691354.0,2186.76,2159.61,IF
IH2401,2020-06-29,4469.76,4537.61,4358.39,4462.8,7301,120377,30986027.19,4462.29,4464.46,IH
IC2401,2020-06-30,2440.58,2451.77,2430.55,2436.06,3553,96370,8860980.43,2432.78,2456.2,IC
IC2402,2020-06-30,3184.59,3251.19,3133.15,3202.69,2998,194754,9459591.54,3202.85,3169.25,IC
IF2401,2020-06-30,2725.84,2769.15,2702.39,2730.83,3270,102227,8566586.47,2726.96,2713.99,IF
IF2402,2020-06-30,2952.28,2961.22,2899.44,2949.44,7628,56487,22394825.09,2955.06,2916.12,IF
IF2403,2020-06-30,2192.51,2221.52,2145.13,2203.07,6032,121271,12646353.63,2197.81,2235.8,IF
IH2401,2020-06-30,4551.39,4629.63,4491.28,4556.9,8304,140119,38960374.49,4540.76,4597.37,IH
IC2401,2020-07-01,2452.53,2462.26,2442.92,2446.91,4020,71252,10024873.59,2436.13,2413.58,IC
IC2402,2020-07-01,3191.3,3195.69,3153.7,3177.57,4042,123370,13011896.19,3191.68,3156.86,IC
IF2401,2020-07-01,2750.84,2754.47,2725.68,2738.68,7560,72811,20821115.41,2725.65,2712.62,IF
IF2402,2020-07-01,2953.34,2957.05,2901.64,2938.42,5840,119163,17729750.98,2929.58,2926.79,IF
IF2403,2020-07-01,2154.46,2176.56,2149.93,2174.44,9776,128703,21294313.29,2182.54,2179.87,IF
IH2401,2020-07-01,4539.7,4585.27,4532.6,4569.72,7516,109560,32783161.83,4562.31,4529.44,IH
IC2401,2020-07-02,2478.53,2492.19,2473.06,2477.55,1560,172737,3964574.7,2466.51,2499.82,IC
IC2402,2020-07-02,3144.79,3179.23,3127.76,3171.72,7756,53316,23527258.43,3172.42,3192.19,IC
IF2401,2020-07-02,2732.3,2750.26,2693.63,2730.98,8965,142001,23731855.65,2740.54,2772.56,IF
IF2402,2020-07-02,2960.38,3018.86,2917.42,2967.06,5150,188579,15460124.87,2967.93,2971.31,IF
IF2403,2020-07-02,2303.92,2337.73,2266.41,2322.04,5993,193547,14525245.21,2327.73,2349.84,IF
IH2401,2020-07-02,4668.63,4733.64,4616.71,4668.22,9433,179538,45861492.78,4689.31,4636.67,IH
IC2401,2020-07-03,2484.67,2503.4,2448.32,2489.99,5325,167595,12623522.85,2494.27,2539.96,IC
IC2402,2020-07-03,3179.65,3207.64,3178.38,3199.39,2122,116329,6915023.42,3201.91,3192.29,IC
IF2401,2020-07-03,2663.02,2668.0,2653.58,2663.51,7631,136051,20745696.86,2660.9,2660.97,IF
IF2402,2020-07-03,2933.36,2962.92,2910.73,2923.66,2158,123374,6342557.19,2921.04,2970.53,IF
IF2403,2020-07-03,2320.0,2325.73,2283.93,2317.36,1045,122396,2534911.43,2306.41,2333.28,IF
IH2401,2020-07-03,4657.61,4714.04,4632.81,4638.56,7401,146427,35959784.89,4627.28,4558.2,IH
IC2401,2020-07-06,2499.65,2505.3,2486.45,2489.53,8002,56304,20557969.72,2492.84,2464.84,IC
IC2402,2020-07-06,3186.21,3215.87,3157.35,3211.32,7960,68834,25046103.65,3214.38,3192.53,IC
IF2401,2020-07-06,2688.79,2714.32,2686.91,2694.64,4045,54707,10464159.04,2683.21,2679.3,IF
IF2402,2020-07-06,2905.81,2977.79,2902.27,2919.96,4199,195082,12144557.09,2918.78,2876.19,IF
IF2403,2020-07-06,2371.34,2378.39,2354.78,2375.31,6319,116680,14707474.35,2369.3,2363.75,IF
IH2401,2020-07-06,4533.45,4610.65,4440.78,4519.48,9688,139040,42422112.76,4496.98,4519.68,IH
IC2401,2020-07-07,2487.91,2507.7,2464.62,2485.48,1834,57227,4628008.78,2492.84,2520.92,IC
IC2402,2020-07-07,3228.12,3286.91,3216.68,3218.1,2788,95789,8793226.19,3210.05,3256.62,IC
IF2401,2020-07-07,2580.48,2589.1,2576.78,2579.51,2790,99690,7005793.31,2576.95,2604.89,IF
IF2402,2020-07-07,2967.01,2987.46,2944.2,2965.96,6877,109370,20033025.21,2969.72,2918.89,IF
IF2403,2020-07-07,2261.71,2320.08,2257.54,2267.56,9688,173264,22823120.87,2260.98,2258.68,IF
IH2401,2020-07-07,4439.35,4477.88,4425.83,4440.25,6120,163214,26084705.4,4459.4,4467.7,IH
IC2401,2020-07-08,2513.09,2546.04,2463.52,2492.38,8072,140658,21084566.51,2502.13,2495.66,IC
IC2402,2020-07-08,3238.6,3247.45,3193.65,3213.14,6276,93822,20699321.67,3223.86,3221.35,IC
IF2401,2020-07-08,2562.33,2625.5,2539.28,2574.47,8653,189505,22119670.01,2586.45,2593.31,IF
IF2402,2020-07-08,3001.77,3063.62,2973.36,2981.99,3374,65152,10331050.24,2975.11,3009.58,IF
IF2403,2020-07-08,2248.71,2277.12,2248.64,2267.66,2545,147173,5653887.84,2256.49,2255.66,IF
IH2401,2020-07-08,4447.64,4499.13,4427.94,4435.0,3760,91683,17473263.31,4453.33,4412.86,IH
IC2401,2020-07-09,2461.54,2471.95,2457.12,2471.65,3882,87409,9748864.1,2466.64,2435.01,IC
IC2402,2020-07-09,3171.01,3188.41,3165.03,3176.92,4217,74259,13690065.1,3183.11,3149.42,IC
IF2401,2020-07-09,2583.79,2613.25,2562.62,2577.3,9019,144561,23573487.78,2580.14,2598.55,IF
IF2402,2020-07-09,2961.66,3001.11,2946.34,2958.03,5031,178340,14466858.89,2965.07,2977.32,IF
IF2403,2020-07-09,2170.19,2182.35,2153.55,2175.83,1883,140712,4067310.35,2170.8,2144.65,IF
IH2401,2020-07-09,4497.92,4543.64,4474.02,4477.67,9342,62898,42372525.93,4480.43,4430.66,IH
IC2401,2020-07-10,2527.73,2570.23,2525.8,2531.19,9429,110850,24208826.27,2541.04,2512.64,IC
IC2402,2020-07-10,3065.29,3067.6,3062.02,3064.31,2912,149065,9134827.02,3074.26,3056.83,IC
IF2401,2020-07-10,2623.07,2632.84,2598.56,2603.22,1982,180847,5274797.52,2596.18,2557.96,IF
IF2402,2020-07-10,3162.92,3200.15,3091.1,3139.75,2649,86153,8245198.26,3149.64,3195.97,IF
IF2403,2020-07-10,2131.23,2165.8,2116.07,2135.92,8532,141009,18399858.58,2141.75,2101.72,IF
IH2401,2020-07-10,4493.76,4609.6,4453.8,4545.71,6261,142293,29672572.11,4547.01,4608.02,IH
IC2401,2020-07-13,2553.67,2580.81,2547.4,2571.36,9013,94383,23673120.6,2572.86,2621.07,IC
IC2402,2020-07-13,3053.78,3065.06,3017.87,3050.61,2745,58598,8049229.44,3055.22,3053.81,IC
IF2401,2020-07-13,2720.77,2750.04,2716.28,2723.2,4684,96509,12570999.22,2724.96,2756.5,IF
IF2402,2020-07-13,3186.24,3188.81,3152.29,3174.02,6967,149887,21811508.82,3172.34,3167.73,IF
IF2403,2020-07-13,2171.55,2177.65,2164.0,2172.2,6776,82445,14165548.11,2167.03,2166.41,IF
IH2401,2020-07-13,4530.55,4565.22,4476.96,4507.71,3252,136231,14057546.28,4497.44,4570.57,IH
IC2401,2020-07-14,2621.27,2659.92,2602.51,2630.69,9086,118036,24077476.93,2635.96,2663.44,IC
IC2402,2020-07-14,2988.52,2999.66,2965.66,2998.62,2080,149402,6275474.39,2992.03,2994.01,IC
IF2401,2020-07-14,2731.6,2750.18,2695.79,2713.95,3499,52471,9924133.86,2718.95,2730.06,IF
IF2402,2020-07-14,2982.76,3018.91,2948.92,2994.63,1117,112622,3182514.65,3002.79,3050.65,IF
IF2403,2020-07-14,2190.12,2222.73,2174.44,2192.47,6286,129558,13607344.26,2195.35,2230.88,IF
IH2401,2020-07-14,4482.19,4482.86,4418.42,4441.74,4939,98502,21119862.38,4420.41,4342.31,IH
IC2401,2020-07-15,2556.58,2570.03,2498.44,2558.21,3217,97642,8320248.98,2549.69,2527.06,IC
IC2402,2020-07-15,2936.44,2953.95,2930.8,2946.78,8162,81039,23600214.08,2932.19,2940.16,IC
IF2401,2020-07-15,2636.85,2709.53,2630.78,2639.51,5115,69263,13827520.01,2648.47,2665.0,IF
IF2402,2020-07-15,3061.4,3078.4,3029.58,3044.03,5582,153219,17399975.09,3037.97,2996.78,IF
IF2403,2020-07-15,2160.82,2173.72,2128.71,2159.13,3856,137131,8015924.77,2168.56,2151.45,IF
IH2401,2020-07-15,4323.81,4410.7,4313.16,4359.48,3265,96585,14792275.24,4367.37,4402.07,IH
IC2401,2020-07-16,2564.28,2586.93,2530.03,2559.57,6634,102596,17675801.79,2570.12,2614.03,IC
IC2402,2020-07-16,2939.94,2976.32,2913.06,2947.41,3568,152344,10993361.57,2938.65,2893.27,IC
IF2401,2020-07-16,2669.9,2695.79,2610.37,2651.06,7367,156277,20162486.06,2659.69,2658.18,IF
IF2402,2020-07-16,3092.05,3111.12,3020.36,3077.7,9699,179367,29340393.75,3070.78,3083.66,IF
IF2403,2020-07-16,2166.57,2176.06,2117.96,2169.26,7918,185112,17996502.91,2168.73,2174.33,IF
IH2401,2020-07-16,4536.4,4542.14,4462.68,4499.9,1294,119344,5587678.21,4502.65,4471.95,IH
IC2401,2020-07-17,2537.76,2552.75,2525.52,2529.95,3361,136419,8198537.01,2526.44,2504.7,IC
IC2402,2020-07-17,2951.42,2983.46,2931.02,2947.49,9047,111865,26283787.43,2944.68,3000.84,IC
IF2401,2020-07-17,2581.26,2639.25,2534.66,2608.1,1590,178212,3955858.69,2598.11,2613.66,IF
IF2402,2020-07-17,2983.8,3015.06,2901.17,2962.32,9559,132588,28514331.92,2962.93,2954.59,IF
IF2403,2020-07-17,2096.53,2117.58,2059.51,2102.14,6085,62651,13154578.92,2098.44,2124.47,IF
IH2401,2020-07-17,4726.15,4755.2,4665.36,4677.22,2627,120462,12646354.56,4661.44,4628.12,IH
IC2401,2020-07-20,2492.47,2553.55,2478.77,2503.41,8373,196706,20964136.1,2501.05,2500.96,IC
IC2402,2020-07-20,2930.28,2932.53,2819.75,2905.58,6536,180944,18338654.55,2903.86,2857.96,IC
IF2401,2020-07-20,2609.48,2638.84,2571.26,2602.96,2868,159379,7324782.25,2615.03,2598.84,IF
IF2402,2020-07-20,2921.9,2977.44,2892.47,2930.06,9398,178267,28825405.85,2925.88,2970.89,IF
IF2403,2020-07-20,2078.78,2095.59,2076.25,2083.19,8395,54292,17867825.46,2086.4,2070.62,IF
IH2401,2020-07-20,4584.17,4609.95,4528.36,4585.92,4472,167639,20507237.08,4585.91,4530.81,IH
IC2401,2020-07-21,2498.84,2510.17,2495.59,2497.46,7166,67052,17998562.01,2489.46,2483.06,IC
IC2402,2020-07-21,2926.72,2962.19,2887.25,2943.66,5692,183369,16622573.25,2948.95,2965.54,IC
